court,house,area,u_price,t_price,detail_url
龙湖悠山郡,3室2厅1卫,89,16293,145,https://qd.anjuke.com/prop/view/A5796134355?auction=201&hpType=1&entry=102&position=10&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=10
青特小镇,3室2厅1卫,97,15258,148,https://qd.anjuke.com/prop/view/A5809715463?auction=201&hpType=1&entry=102&position=11&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=11
龙湖悠山郡,3室2厅1卫,89,15731,140,https://qd.anjuke.com/prop/view/A5799418845?auction=201&hpType=1&entry=102&position=12&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=12
龙湖悠山郡,3室2厅1卫,89,17641,157,https://qd.anjuke.com/prop/view/A5780253865?auction=201&hpType=1&entry=102&position=13&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=13
龙湖悠山郡,3室2厅1卫,89.4,16772,150,https://qd.anjuke.com/prop/view/R1689559991788549?auction=201&hpType=1&entry=102&position=14&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=14
龙湖悠山郡,3室2厅1卫,89.4,16772,150,https://qd.anjuke.com/prop/view/R1947895904197632?auction=201&hpType=1&entry=102&position=15&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=15
龙湖悠山郡,3室2厅1卫,89.4,16772,150,https://qd.anjuke.com/prop/view/R1957834029670406?auction=201&hpType=1&entry=102&position=16&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=16
龙湖悠山郡,3室2厅1卫,89,16405,146,https://qd.anjuke.com/prop/view/A5793599817?auction=201&hpType=1&entry=102&position=17&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=17
龙湖悠山郡,3室2厅1卫,89,16293,145,https://qd.anjuke.com/prop/view/A5775947686?auction=201&hpType=1&entry=102&position=18&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=18
融创维多利亚湾,3室2厅1卫,95.4,9752,93,https://qd.anjuke.com/prop/view/A5792326374?auction=201&hpType=1&entry=102&position=19&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=19
青特小镇,3室2厅1卫,96,15417,148,https://qd.anjuke.com/prop/view/A5801426367?auction=201&hpType=1&entry=102&position=20&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=20
青特小镇,3室2厅1卫,97,15258,148,https://qd.anjuke.com/prop/view/A5811660979?auction=201&hpType=1&entry=102&position=21&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=21
龙湖悠山郡,3室2厅1卫,89,16293,145,https://qd.anjuke.com/prop/view/A5779543615?auction=201&hpType=1&entry=102&position=22&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=22
融创维多利亚湾,3室2厅1卫,96,9688,93,https://qd.anjuke.com/prop/view/A5762235773?auction=201&hpType=1&entry=102&position=23&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=23
青特小镇,3室2厅1卫,97,15258,148,https://qd.anjuke.com/prop/view/A5808180103?auction=201&hpType=1&entry=102&position=24&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=24
龙湖悠山郡,3室2厅1卫,89,15731,140,https://qd.anjuke.com/prop/view/A5801557310?auction=201&hpType=1&entry=102&position=25&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=25
龙湖悠山郡,3室2厅1卫,89,16405,146,https://qd.anjuke.com/prop/view/A5766891650?auction=201&hpType=1&entry=102&position=26&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=26
融创维多利亚湾,3室2厅1卫,96,9688,93,https://qd.anjuke.com/prop/view/A5763992159?auction=201&hpType=1&entry=102&position=27&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=27
青特小镇,3室2厅1卫,97,15258,148,https://qd.anjuke.com/prop/view/A5810506818?auction=201&hpType=1&entry=102&position=28&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=28
龙湖悠山郡,3室2厅1卫,89,16293,145,https://qd.anjuke.com/prop/view/A5667689744?auction=201&hpType=1&entry=102&position=29&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=29
青特小镇,3室2厅1卫,97,15258,148,https://qd.anjuke.com/prop/view/A5808353148?auction=201&hpType=1&entry=102&position=30&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=30
龙湖悠山郡,3室2厅1卫,89,15731,140,https://qd.anjuke.com/prop/view/A5803326889?auction=201&hpType=1&entry=102&position=31&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=31
融创维多利亚湾,3室2厅1卫,95.4,9752,93,https://qd.anjuke.com/prop/view/A5777902816?auction=201&hpType=1&entry=102&position=32&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=32
龙湖悠山郡,3室2厅1卫,89,16405,146,https://qd.anjuke.com/prop/view/A5802732700?auction=201&hpType=1&entry=102&position=33&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=33
融创维多利亚湾,3室2厅1卫,95.4,9752,93,https://qd.anjuke.com/prop/view/A5799481829?auction=201&hpType=1&entry=102&position=34&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=34
青特小镇,3室2厅1卫,97,15258,148,https://qd.anjuke.com/prop/view/A5810721604?auction=201&hpType=1&entry=102&position=35&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=35
龙湖悠山郡,3室2厅1卫,89,16293,145,https://qd.anjuke.com/prop/view/A5779929993?auction=201&hpType=1&entry=102&position=36&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=36
融创维多利亚湾,3室2厅1卫,96,9688,93,https://qd.anjuke.com/prop/view/A5763544766?auction=201&hpType=1&entry=102&position=37&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=37
青特小镇,3室2厅1卫,97,15258,148,https://qd.anjuke.com/prop/view/A5808326641?auction=201&hpType=1&entry=102&position=38&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=38
龙湖悠山郡,3室1厅1卫,89,15731,140,https://qd.anjuke.com/prop/view/A5806121286?auction=201&hpType=1&entry=102&position=39&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=39
龙湖悠山郡,3室2厅1卫,89,16405,146,https://qd.anjuke.com/prop/view/A5809724594?auction=201&hpType=1&entry=102&position=40&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=40
融创维多利亚湾,3室2厅1卫,96,9688,93,https://qd.anjuke.com/prop/view/A5767726522?auction=201&hpType=1&entry=102&position=41&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=41
融创维多利亚湾,3室2厅1卫,95.4,9752,93,https://qd.anjuke.com/prop/view/A5807036459?auction=201&hpType=1&entry=102&position=42&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=42
青特小镇,3室2厅1卫,97,15258,148,https://qd.anjuke.com/prop/view/A5808190307?auction=201&hpType=1&entry=102&position=43&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=43
龙湖悠山郡,3室2厅1卫,89,15731,140,https://qd.anjuke.com/prop/view/A5803195706?auction=201&hpType=1&entry=102&position=44&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=44
龙湖悠山郡,3室2厅1卫,89,16405,146,https://qd.anjuke.com/prop/view/A5777047129?auction=201&hpType=1&entry=102&position=45&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=45
融创维多利亚湾,3室2厅1卫,96,9688,93,https://qd.anjuke.com/prop/view/A5760788322?auction=201&hpType=1&entry=102&position=46&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=46
龙湖悠山郡,3室2厅1卫,89,15731,140,https://qd.anjuke.com/prop/view/A5810607331?auction=201&hpType=1&entry=102&position=47&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=47
青特小镇,3室2厅1卫,97,15258,148,https://qd.anjuke.com/prop/view/A5809252085?auction=201&hpType=1&entry=102&position=48&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=48
融创维多利亚湾,3室2厅1卫,96,9688,93,https://qd.anjuke.com/prop/view/A5790791578?auction=201&hpType=1&entry=102&position=49&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=49
青特小镇,3室2厅1卫,97,15258,148,https://qd.anjuke.com/prop/view/A5808259273?auction=201&hpType=1&entry=102&position=50&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=50
龙湖悠山郡,3室2厅1卫,89,15731,140,https://qd.anjuke.com/prop/view/A5803347583?auction=201&hpType=1&entry=102&position=51&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=51
青特小镇,3室2厅1卫,97,15258,148,https://qd.anjuke.com/prop/view/A5809165985?auction=201&hpType=1&entry=102&position=52&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=52
龙湖悠山郡,3室2厅1卫,89,15731,140,https://qd.anjuke.com/prop/view/A5811157370?auction=201&hpType=1&entry=102&position=53&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=53
龙湖悠山郡,3室2厅1卫,89,15731,140,https://qd.anjuke.com/prop/view/A5810723847?auction=201&hpType=1&entry=102&position=54&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=54
青特小镇,3室2厅1卫,97,15258,148,https://qd.anjuke.com/prop/view/A5808259155?auction=201&hpType=1&entry=102&position=55&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=55
龙湖悠山郡,3室2厅1卫,89,15731,140,https://qd.anjuke.com/prop/view/A5805142847?auction=201&hpType=1&entry=102&position=56&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=56
龙湖悠山郡,3室2厅1卫,89,15731,140,https://qd.anjuke.com/prop/view/A5803715373?auction=201&hpType=1&entry=102&position=57&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=57
龙湖悠山郡,3室2厅1卫,89,15731,140,https://qd.anjuke.com/prop/view/A5803982150?auction=201&hpType=1&entry=102&position=58&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=58
龙湖悠山郡,3室2厅1卫,89,15731,140,https://qd.anjuke.com/prop/view/A5807050904?auction=201&hpType=1&entry=102&position=59&kwtype=filter&now_time=1625013750&spread=filtersearch_p&from=from_esf_List_screen&index=59
青特小镇,3室2厅2卫,95.2,15240,145,https://qd.anjuke.com/prop/view/A5592021788?auction=201&hpType=1&entry=102&position=0&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=0
龙湖悠山郡,3室2厅1卫,89,16405,146,https://qd.anjuke.com/prop/view/A5793599817?auction=201&hpType=1&entry=102&position=1&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=1
龙湖悠山郡,3室1厅1卫,89,16630,148,https://qd.anjuke.com/prop/view/A5759461209?auction=201&hpType=1&entry=102&position=2&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=2
青特小镇,3室2厅1卫,89.8,15041,135,https://qd.anjuke.com/prop/view/A5723512908?auction=201&hpType=1&entry=102&position=3&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=3
龙湖悠山郡,3室2厅1卫,89,16293,145,https://qd.anjuke.com/prop/view/A5810721462?auction=201&hpType=1&entry=102&position=4&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=4
融创维多利亚湾,3室2厅1卫,96,9688,93,https://qd.anjuke.com/prop/view/A5760788322?auction=201&hpType=1&entry=102&position=5&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=5
融创维多利亚湾,3室2厅1卫,95.4,9752,93,https://qd.anjuke.com/prop/view/A5792326374?auction=201&hpType=1&entry=102&position=6&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=6
青特小镇,3室2厅1卫,96,15417,148,https://qd.anjuke.com/prop/view/A5801343284?auction=201&hpType=1&entry=102&position=7&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=7
青特小镇,3室2厅1卫,97,15258,148,https://qd.anjuke.com/prop/view/A5812109974?auction=201&hpType=1&entry=102&position=8&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=8
青特小镇,3室2厅1卫,97,15982,155,https://qd.anjuke.com/prop/view/A5771956936?auction=207&hpType=11&entry=102&position=9&kwtype=filter&now_time=1625016792&spread=filtersearch_c&from=from_esf_List_screen&index=9
龙湖悠山郡,3室2厅1卫,89,16293,145,https://qd.anjuke.com/prop/view/A5779929993?auction=201&hpType=1&entry=102&position=10&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=10
青特小镇,3室2厅1卫,97,15258,148,https://qd.anjuke.com/prop/view/A5808180103?auction=201&hpType=1&entry=102&position=11&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=11
龙湖悠山郡,3室2厅1卫,89,15731,140,https://qd.anjuke.com/prop/view/A5807050904?auction=201&hpType=1&entry=102&position=12&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=12
龙湖悠山郡,3室2厅1卫,89,17641,157,https://qd.anjuke.com/prop/view/A5780253865?auction=201&hpType=1&entry=102&position=13&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=13
龙湖悠山郡,3室2厅1卫,89.4,16772,150,https://qd.anjuke.com/prop/view/R1689559991788549?auction=201&hpType=1&entry=102&position=14&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=14
龙湖悠山郡,3室2厅1卫,89.4,16772,150,https://qd.anjuke.com/prop/view/R1947895904197632?auction=201&hpType=1&entry=102&position=15&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=15
龙湖悠山郡,3室2厅1卫,89,16405,146,https://qd.anjuke.com/prop/view/A5809724594?auction=201&hpType=1&entry=102&position=16&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=16
龙湖悠山郡,3室2厅1卫,89,16293,145,https://qd.anjuke.com/prop/view/A5775947686?auction=201&hpType=1&entry=102&position=17&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=17
融创维多利亚湾,3室2厅1卫,95.4,9752,93,https://qd.anjuke.com/prop/view/A5807606179?auction=201&hpType=1&entry=102&position=18&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=18
青特小镇,3室2厅1卫,96,15417,148,https://qd.anjuke.com/prop/view/A5801426367?auction=201&hpType=1&entry=102&position=19&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=19
青特小镇,3室2厅1卫,97,15258,148,https://qd.anjuke.com/prop/view/A5812171971?auction=201&hpType=1&entry=102&position=20&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=20
龙湖悠山郡,3室2厅1卫,89,16293,145,https://qd.anjuke.com/prop/view/A5667689744?auction=201&hpType=1&entry=102&position=21&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=21
融创维多利亚湾,3室2厅1卫,96,9688,93,https://qd.anjuke.com/prop/view/A5762235773?auction=201&hpType=1&entry=102&position=22&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=22
青特小镇,3室2厅1卫,97,15258,148,https://qd.anjuke.com/prop/view/A5809715463?auction=201&hpType=1&entry=102&position=23&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=23
龙湖悠山郡,3室2厅1卫,89,15731,140,https://qd.anjuke.com/prop/view/A5811157370?auction=201&hpType=1&entry=102&position=24&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=24
龙湖悠山郡,3室2厅1卫,89,16405,146,https://qd.anjuke.com/prop/view/A5777047129?auction=201&hpType=1&entry=102&position=25&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=25
融创维多利亚湾,3室2厅1卫,95.4,9752,93,https://qd.anjuke.com/prop/view/A5812044361?auction=201&hpType=1&entry=102&position=26&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=26
融创维多利亚湾,3室2厅1卫,96,9688,93,https://qd.anjuke.com/prop/view/A5790791578?auction=201&hpType=1&entry=102&position=27&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=27
青特小镇,3室2厅1卫,97,15258,148,https://qd.anjuke.com/prop/view/A5810506818?auction=201&hpType=1&entry=102&position=28&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=28
龙湖悠山郡,3室2厅1卫,89,16293,145,https://qd.anjuke.com/prop/view/A5779543615?auction=201&hpType=1&entry=102&position=29&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=29
青特小镇,3室2厅1卫,97,15258,148,https://qd.anjuke.com/prop/view/A5808259273?auction=201&hpType=1&entry=102&position=30&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=30
龙湖悠山郡,3室2厅1卫,89,15731,140,https://qd.anjuke.com/prop/view/A5803982150?auction=201&hpType=1&entry=102&position=31&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=31
龙湖悠山郡,3室2厅1卫,89,16405,146,https://qd.anjuke.com/prop/view/A5802732700?auction=201&hpType=1&entry=102&position=32&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=32
融创维多利亚湾,3室2厅1卫,95.4,9752,93,https://qd.anjuke.com/prop/view/A5799481829?auction=201&hpType=1&entry=102&position=33&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=33
融创维多利亚湾,3室2厅1卫,96,9688,93,https://qd.anjuke.com/prop/view/A5767726522?auction=201&hpType=1&entry=102&position=34&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=34
青特小镇,3室2厅1卫,97,15258,148,https://qd.anjuke.com/prop/view/A5811660979?auction=201&hpType=1&entry=102&position=35&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=35
龙湖悠山郡,3室2厅1卫,89,16293,145,https://qd.anjuke.com/prop/view/A5796134355?auction=201&hpType=1&entry=102&position=36&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=36
青特小镇,3室2厅1卫,97,15258,148,https://qd.anjuke.com/prop/view/A5809252085?auction=201&hpType=1&entry=102&position=37&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=37
龙湖悠山郡,3室2厅1卫,89,15731,140,https://qd.anjuke.com/prop/view/A5801557310?auction=201&hpType=1&entry=102&position=38&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=38
龙湖悠山郡,3室2厅1卫,89,16405,146,https://qd.anjuke.com/prop/view/A5766891650?auction=201&hpType=1&entry=102&position=39&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=39
融创维多利亚湾,3室2厅1卫,95.4,9752,93,https://qd.anjuke.com/prop/view/A5807036459?auction=201&hpType=1&entry=102&position=40&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=40
融创维多利亚湾,3室2厅1卫,96,9688,93,https://qd.anjuke.com/prop/view/A5803922695?auction=201&hpType=1&entry=102&position=41&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=41
青特小镇,3室2厅1卫,97,15258,148,https://qd.anjuke.com/prop/view/A5810721604?auction=201&hpType=1&entry=102&position=42&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=42
青特小镇,3室2厅1卫,97,15258,148,https://qd.anjuke.com/prop/view/A5808326641?auction=201&hpType=1&entry=102&position=43&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=43
龙湖悠山郡,3室2厅1卫,89,15731,140,https://qd.anjuke.com/prop/view/A5810723847?auction=201&hpType=1&entry=102&position=44&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=44
龙湖悠山郡,3室2厅1卫,89,16405,146,https://qd.anjuke.com/prop/view/A5740571225?auction=201&hpType=1&entry=102&position=45&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=45
青特小镇,3室2厅1卫,97,15258,148,https://qd.anjuke.com/prop/view/A5811446777?auction=201&hpType=1&entry=102&position=46&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=46
融创维多利亚湾,3室2厅1卫,96,9688,93,https://qd.anjuke.com/prop/view/A5763544766?auction=201&hpType=1&entry=102&position=47&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=47
青特小镇,3室2厅1卫,97,15258,148,https://qd.anjuke.com/prop/view/A5808353148?auction=201&hpType=1&entry=102&position=48&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=48
龙湖悠山郡,3室2厅1卫,89,15731,140,https://qd.anjuke.com/prop/view/A5803326889?auction=201&hpType=1&entry=102&position=49&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=49
融创维多利亚湾,3室2厅1卫,96,9688,93,https://qd.anjuke.com/prop/view/A5763992159?auction=201&hpType=1&entry=102&position=50&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=50
青特小镇,3室2厅1卫,97,15258,148,https://qd.anjuke.com/prop/view/A5809165985?auction=201&hpType=1&entry=102&position=51&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=51
龙湖悠山郡,3室2厅1卫,89,15731,140,https://qd.anjuke.com/prop/view/A5810607331?auction=201&hpType=1&entry=102&position=52&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=52
青特小镇,3室2厅1卫,97,15258,148,https://qd.anjuke.com/prop/view/A5808190307?auction=201&hpType=1&entry=102&position=53&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=53
龙湖悠山郡,3室2厅1卫,89,15731,140,https://qd.anjuke.com/prop/view/A5803195706?auction=201&hpType=1&entry=102&position=54&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=54
龙湖悠山郡,3室1厅1卫,89,15731,140,https://qd.anjuke.com/prop/view/A5806121286?auction=201&hpType=1&entry=102&position=55&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=55
龙湖悠山郡,3室2厅1卫,89,15731,140,https://qd.anjuke.com/prop/view/A5799418845?auction=201&hpType=1&entry=102&position=56&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=56
龙湖悠山郡,3室2厅1卫,89,15731,140,https://qd.anjuke.com/prop/view/A5805142847?auction=201&hpType=1&entry=102&position=57&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=57
龙湖悠山郡,3室2厅1卫,89,15731,140,https://qd.anjuke.com/prop/view/A5803347583?auction=201&hpType=1&entry=102&position=58&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=58
龙湖悠山郡,3室2厅1卫,89,15731,140,https://qd.anjuke.com/prop/view/A5803715373?auction=201&hpType=1&entry=102&position=59&kwtype=filter&now_time=1625016792&spread=filtersearch_p&from=from_esf_List_screen&index=59
龙湖悠山郡,3室2厅1卫,89.4,16772,150,https://qd.anjuke.com/prop/view/R1957834029670406?auction=201&hpType=1&entry=102&position=0&kwtype=filter&now_time=1625016793&spread=filtersearch_p&from=from_esf_List_screen&index=0
青特小镇,3室2厅1卫,97,15258,148,https://qd.anjuke.com/prop/view/A5808259155?auction=201&hpType=1&entry=102&position=1&kwtype=filter&now_time=1625016793&spread=filtersearch_p&from=from_esf_List_screen&index=1
融创维多利亚湾,3室2厅1卫,95.4,9752,93,https://qd.anjuke.com/prop/view/A5777902816?auction=201&hpType=1&entry=102&position=2&kwtype=filter&now_time=1625016793&spread=filtersearch_p&from=from_esf_List_screen&index=2
融创维多利亚湾,3室2厅1卫,95.5,10366,99,https://qd.anjuke.com/prop/view/A5801293242?auction=201&hpType=1&entry=102&position=3&kwtype=filter&now_time=1625016793&spread=filtersearch_p&from=from_esf_List_screen&index=3
